full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
sanbuphy/claude-code-source-code,403,403,488,403,403,488,https://github.com/sanbuphy/claude-code-source-code
carlvellotti/claude-code-pm-course,1709,1709,264,1,1,2,https://github.com/carlvellotti/claude-code-pm-course
sugyan/claude-code-webui,989,989,227,0,0,0,https://github.com/sugyan/claude-code-webui
ghuntley/claude-code-source-code-deobfuscation,898,898,463,23,23,39,https://github.com/ghuntley/claude-code-source-code-deobfuscation
lst97/claude-code-sub-agents,1505,1505,239,3,3,0,https://github.com/lst97/claude-code-sub-agents
centminmod/my-claude-code-setup,2135,2135,213,0,0,0,https://github.com/centminmod/my-claude-code-setup
darcyegb/ClaudeCodeAgents,634,634,56,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
Alishahryar1/free-claude-code,1277,1277,164,12,12,2,https://github.com/Alishahryar1/free-claude-code
rohitg00/awesome-claude-code-toolkit,969,969,248,3,3,2,https://github.com/rohitg00/awesome-claude-code-toolkit
alirezarezvani/claude-skills,8275,8275,983,60,60,10,https://github.com/alirezarezvani/claude-skills
nishimoto265/Claude-Code-Communication,495,495,236,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
slopus/happy,16774,16774,1336,29,29,2,https://github.com/slopus/happy
steipete/claude-code-mcp,1208,1208,150,-1,-1,0,https://github.com/steipete/claude-code-mcp
catlog22/Claude-Code-Workflow,1631,1631,137,11,11,1,https://github.com/catlog22/Claude-Code-Workflow
trailofbits/claude-code-config,1720,1720,132,4,4,0,https://github.com/trailofbits/claude-code-config
Yeachan-Heo/oh-my-claudecode,18080,18080,1270,255,255,25,https://github.com/Yeachan-Heo/oh-my-claudecode
simonw/claude-code-transcripts,1368,1368,144,1,1,0,https://github.com/simonw/claude-code-transcripts
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2518,2518,420,14,14,2,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
farion1231/cc-switch,36200,36200,2160,223,223,13,https://github.com/farion1231/cc-switch
Njengah/claude-code-cheat-sheet,1505,1505,189,1,1,0,https://github.com/Njengah/claude-code-cheat-sheet
rizethereum/claude-code-requirements-builder,1760,1760,174,-1,-1,0,https://github.com/rizethereum/claude-code-requirements-builder
jeremylongshore/claude-code-plugins-plus-skills,1764,1764,231,5,5,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
andrepimenta/claude-code-chat,1013,1013,156,1,1,0,https://github.com/andrepimenta/claude-code-chat
disler/claude-code-hooks-multi-agent-observability,1318,1318,364,0,0,1,https://github.com/disler/claude-code-hooks-multi-agent-observability
JessyTsui/Claude-Code-Remote,1192,1192,128,1,1,0,https://github.com/JessyTsui/Claude-Code-Remote
Onewon/claude-code,29,29,152,29,29,152,https://github.com/Onewon/claude-code
0xfurai/claude-code-subagents,806,806,144,2,2,0,https://github.com/0xfurai/claude-code-subagents
jarrodwatts/claude-hud,15618,15618,651,125,125,5,https://github.com/jarrodwatts/claude-hud
pchalasani/claude-code-tools,1643,1643,103,2,2,0,https://github.com/pchalasani/claude-code-tools
jarrodwatts/claude-code-config,1005,1005,126,0,0,0,https://github.com/jarrodwatts/claude-code-config
jarmuine/claude-code,25,25,134,25,25,134,https://github.com/jarmuine/claude-code
peterkrueck/Claude-Code-Development-Kit,1335,1335,152,-1,-1,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
alirezarezvani/claude-code-tresor,658,658,145,0,0,0,https://github.com/alirezarezvani/claude-code-tresor
ComposioHQ/awesome-claude-skills,49710,49710,5153,98,98,8,https://github.com/ComposioHQ/awesome-claude-skills
d-kimuson/claude-code-viewer,1020,1020,117,5,5,0,https://github.com/d-kimuson/claude-code-viewer
winfunc/opcode,21216,21216,1626,2,2,1,https://github.com/winfunc/opcode
anthropics/claude-agent-sdk-demos,2004,2004,284,2,2,0,https://github.com/anthropics/claude-agent-sdk-demos
wasabeef/claude-code-cookbook,1051,1051,111,0,0,0,https://github.com/wasabeef/claude-code-cookbook
revfactory/claude-code-mastering,769,769,125,0,0,0,https://github.com/revfactory/claude-code-mastering
cixingguangming55555/wechat-bot,2530,2530,663,0,0,0,https://github.com/cixingguangming55555/wechat-bot
ccplugins/awesome-claude-code-plugins,657,657,169,0,0,1,https://github.com/ccplugins/awesome-claude-code-plugins
kepano/obsidian-skills,18536,18536,1096,51,51,3,https://github.com/kepano/obsidian-skills
daymade/claude-code-skills,754,754,113,2,2,0,https://github.com/daymade/claude-code-skills
disler/pi-vs-claude-code,584,584,172,1,1,0,https://github.com/disler/pi-vs-claude-code
severity1/claude-code-prompt-improver,1326,1326,112,2,2,0,https://github.com/severity1/claude-code-prompt-improver
anthropics/claude-agent-sdk-python,5991,5991,803,11,11,-1,https://github.com/anthropics/claude-agent-sdk-python
ericbuess/claude-code-docs,763,763,103,1,1,0,https://github.com/ericbuess/claude-code-docs
